title,author,secondary_author,illustrator,translators,series,state,district,date_ban,ban_status,challenge_origin
Twisted,"Anderson, Laurie Halse",,,,,Idaho,Kuna School District,February 2023,Banned Pending Investigation,Administration
Twisted,"Anderson, Laurie Halse",,,,,North Dakota,Williston Basin School District #7,September 2022,Banned Pending Investigation,Informal Challenge
Twisted,"Anderson, Laurie Halse",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Twisted,"Anderson, Laurie Halse",,,,,Utah,Alpine School District,November 2022,Banned from Libraries,Legislative Action
Twisted,"Anderson, Laurie Halse",,,,,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Wintergirls,"Anderson, Laurie Halse",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Wintergirls,"Anderson, Laurie Halse",,,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
Wintergirls,"Anderson, Laurie Halse",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Wintergirls,"Anderson, Laurie Halse",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
Wintergirls,"Anderson, Laurie Halse",,,,,Texas,Keller Independent School District,February 2023,Banned Pending Investigation,Formal Challenge
The Daughters of Ys,"Anderson, M. T.",,"Rioux, Jo",,,Missouri,Kirkwood School District,October 2022,Banned from Libraries and Classrooms,Legislative Action
The Daughters of Ys,"Anderson, M. T.",,"Rioux, Jo",,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Laura Ingalls Wilder Country: The People and Places in Laura Ingalls Wilder's Life and Books,"Anderson, William",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,Clay County School District,July 2022,Banned from Libraries and Classrooms,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,Flagler Schools,October 2022,Banned from Libraries and Classrooms,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,Highlands Schools,March 2023,Banned from Libraries and Classrooms,Administration
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,Lake County Schools,Fall 2022,Banned from Libraries and Classrooms,Administration
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,School District of Manatee County,July 2022,Banned from Libraries and Classrooms,Legislative Action
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,School District of Osceola County,March 2023,Banned from Libraries and Classrooms,Administration
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Maine,Maine School Administrative District #6,April 2023,Banned Pending Investigation,Informal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Missouri,Willard Public Schools,January 2023,Banned from Libraries and Classrooms,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,North Dakota,Williston Basin School District #7,September 2022,Banned Pending Investigation,Informal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Oregon,West Linn-Wilsonville School District,November 2022,Banned from Libraries,Informal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Virginia,Hanover County Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Virginia,Spotsylvania County Public Schools,February 2023,Banned from Libraries,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Virginia,Williamsburg-James City Public Schools,May 2023,Banned from Libraries and Classrooms,Formal Challenge
The Haters,"Andrews, Jesse",,,,,Florida,Clay County School District,July 2022,Banned from Libraries and Classrooms,Formal Challenge
The Haters,"Andrews, Jesse",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Haters,"Andrews, Jesse",,,,,Florida,Flagler Schools,October 2022,Banned from Libraries and Classrooms,Formal Challenge
The Haters,"Andrews, Jesse",,,,,Florida,Martin County Schools,March 2023,Banned from Libraries and Classrooms,Formal Challenge
The Haters,"Andrews, Jesse",,,,,South Carolina,Beaufort County School District,October 2022,Banned from Libraries and Classrooms,Informal Challenge
The Haters,"Andrews, Jesse",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
The Haters,"Andrews, Jesse",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
The Haters,"Andrews, Jesse",,,,,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action
The Haters,"Andrews, Jesse",,,,,Utah,Davis School District,February 2023,Banned from Libraries and Classrooms,Formal Challenge
The Haters,"Andrews, Jesse",,,,,Utah,Granite School District,November 2022,Banned Pending Investigation,Formal Challenge
The Haters,"Andrews, Jesse",,,,,Utah,Jordan School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
The Haters,"Andrews, Jesse",,,,,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge
The Haters,"Andrews, Jesse",,,,,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
Flowers in the Attic,"Andrews, V.C.",,,,Dollanganger,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Flowers in the Attic,"Andrews, V.C.",,,,Dollanganger,Florida,School District of Manatee County,July 2022,Banned from Libraries,Legislative Action
I Know Why The Caged Bird Sings,"Angelou, Maya",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Noah's Ark: Words from the Book of Genesis,Anonymous,,"Ray, Jane",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
