title,author,secondary_author,illustrator,translators,series,state,district,date_ban,ban_status,challenge_origin
The Sweetest Story: Bible for Toddlers,"Stortz, Diane",,"Bailey, Sheila",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Wild: From Lost to Found on the Pacific Coast,"Strayed, Cheryl",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
"The Annotated Mona Lisa, Third Edition: A Crash Court in Art History from Prehistoric to the Present (Volume 3)","Strickland, Carol",,,,Annotated Series,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Forbidden,"Suzuma, Tabitha",,,,,Texas,Katy Independent School District,August 2022,Banned from Libraries and Classrooms,Administration
The Essential Johannes Vermeer,"Sweet, Christopher",,,,The Essential,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Jarhead: A Marine's Chronicle of the Gulf War and Other Battles,"Swofford, Anthony",,,,,Michigan,Hudsonville Public Schools,December 2022,Banned from Libraries and Classrooms,Formal Challenge
The Children's Bible,"Tagholm, Sally","Mills, Andrea","de Narváez, Julián",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
The Children's Bible,"Tagholm, Sally","Mills, Andrea","de Narváez, Julián",,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
A Reaper at the Gates,"Tahir, Sabaa",,,,Ember Quartet,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
A Sky Beyond the Storm,"Tahir, Sabaa",,,,Ember Quartet,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
A Torch Against the Night,"Tahir, Sabaa",,,,Ember Quartet,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
An Ember in the Ashes,"Tahir, Sabaa",,,,Ember Quartet,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
"Fruits Basket, Vol. 14","Takaya, Natsuki",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
"Fruits Basket, Vol. 17","Takaya, Natsuki",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
As I Descended,"Talley, Robin",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Music from Another World,"Talley, Robin",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
SuperMutant Magic Academy,"Tamaki, Jillian",,,,,Florida,Escambia County Public Schools,May 2023,Banned Pending Investigation,Formal Challenge
SuperMutant Magic Academy,"Tamaki, Jillian",,,,,Missouri,Rockwood School District,August 2022,Banned from Libraries and Classrooms,Legislative Action
Laura Dean Keeps Breaking Up with Me,"Tamaki, Mariko",,"Valero-O'Connell, Rosemary",,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Laura Dean Keeps Breaking Up with Me,"Tamaki, Mariko",,"Valero-O'Connell, Rosemary",,,Florida,School District of Manatee County,July 2022,Banned from Libraries,Legislative Action
Laura Dean Keeps Breaking Up with Me,"Tamaki, Mariko",,"Valero-O'Connell, Rosemary",,,Florida,Volusia County Schools,January 2023,Banned from Libraries,Administration
Laura Dean Keeps Breaking Up with Me,"Tamaki, Mariko",,"Valero-O'Connell, Rosemary",,,Tennessee,Robertson County Schools,December 2022,Banned from Libraries and Classrooms,Formal Challenge
Laura Dean Keeps Breaking Up with Me,"Tamaki, Mariko",,"Valero-O'Connell, Rosemary",,,Utah,Granite School District,November 2022,Banned Pending Investigation,Formal Challenge
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Florida,Collier County Public Schools,March 2023,Banned from Libraries,Administration
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,North Carolina,Cumberland County Schools,April 2023,Banned from Libraries,Administration
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Texas,Keller Independent School District,Fall 2022,Banned Pending Investigation,Formal Challenge
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Texas,Lake Travis Independent School District,March 2023,Banned from Libraries,Informal Challenge
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Utah,Alpine School District,November 2022,Banned from Libraries,Legislative Action
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Utah,Granite School District,November 2022,Banned Pending Investigation,Formal Challenge
The Melancholy of Haruhi Suzumiya,"Tanigawa, Nagaru",,"Itou, Noizi; Tsugano, Gaku",,The Melancholy of Haruhi Suzumiya,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Sigh of Haruhi Suzumiya,"Tanigawa, Nagaru",,"Itou, Noizi","Pai, Chris",Haruhi Suzumiya,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Meow or Never,"Taylor, Jazz",,,,,Florida,Martin County Schools,April 2023,Banned from Libraries and Classrooms,Formal Challenge
My First Bible in Pictures,"Taylor, Kenneth Nathaniel",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Daughter of Smoke and Bone,"Taylor, Laini",,,,Daughter of Smoke and Bone,Indiana,Western School Corporation,November 2022,Banned from Libraries,Formal Challenge
Days of Blood and Starlight,"Taylor, Laini",,,,Daughter of Smoke and Bone,Indiana,Western School Corporation,November 2022,Banned from Libraries,Formal Challenge
Dreams of Gods and Monsters,"Taylor, Laini",,,,Daughter of Smoke and Bone,Indiana,Western School Corporation,November 2022,Banned from Libraries,Formal Challenge
Strange the Dreamer,"Taylor, Laini",,,,Strange the Dreamer,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Man Ray: The Paris Years,"Taylor, Michael R.",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
"Roll of Thunder, Hear My Cry","Taylor, Mildred D.",,,,,Florida,The School District of Palm Beach County,July 2022,Banned Pending Investigation,Legislative Action
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Florida,Collier County Public Schools,March 2023,Banned from Libraries,Administration
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Florida,Escambia County Public Schools,September 2022,Banned from Libraries,Formal Challenge
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Florida,Highlands Schools,September 2022,Banned Pending Investigation,Informal Challenge
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Florida,Martin County Schools,February 2023,Banned from Libraries,Administration
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries,Administration
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,"Testa, Rylan Jay","Coolhart, Deborah; Peta, Jayme",,,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
Crime and Punishment: The Graphic Novel,"Tezuka, Osamu",,,,,Missouri,Kirkwood School District,October 2022,Banned from Libraries and Classrooms,Legislative Action
Mission Trip Impossible,"Thaler, Mike",,"Lee, Jared",,Tales from the Back Pew,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Transgender Activists and Celebrities,The New York Times Editorial Staff,,,,Public Profiles,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Transgender Rights: Striving for Equality,The New York Times Editorial Staff,,,,In the Headlines,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
"Be Gay, Do Comics: Queer History, Memoir, and Satire",The Nib,,,,,Missouri,Mehlville School District,August 2022,Banned from Libraries,Legislative Action
"Be Gay, Do Comics: Queer History, Memoir, and Satire",The Nib,,,,,Missouri,North Kansas City Schools,September 2022,Banned from Libraries,Legislative Action
"Be Gay, Do Comics: Queer History, Memoir, and Satire",The Nib,,,,,Missouri,Rockwood School District,August 2022,Banned from Libraries and Classrooms,Legislative Action
"Be Gay, Do Comics: Queer History, Memoir, and Satire",The Nib,,,,,Missouri,Webster Groves School District,September 2022,Banned from Libraries,Legislative Action
Cemetery Boys,"Thomas, Aiden",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Cemetery Boys,"Thomas, Aiden",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Concrete Rose,"Thomas, Angie",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Concrete Rose,"Thomas, Angie",,,,,Florida,Escambia County Public Schools,January 2023,Banned Pending Investigation,Formal Challenge
The Hate U Give,"Thomas, Angie",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Hate U Give,"Thomas, Angie",,,,,Florida,Duval County Public Schools,March 2023,Banned from Libraries and Classrooms,Administration
The Hate U Give,"Thomas, Angie",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Hate U Give,"Thomas, Angie",,,,,Florida,Highlands Schools,September 2022,Banned Pending Investigation,Informal Challenge
The Hate U Give,"Thomas, Angie",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Hate U Give,"Thomas, Angie",,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
The Hate U Give,"Thomas, Angie",,,,,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration
The Hate U Give,"Thomas, Angie",,,,,Florida,School District of Hamilton County,March 2023,Banned from Libraries and Classrooms,Administration
The Hate U Give,"Thomas, Angie",,,,,Florida,School District of Manatee County,July 2022,Banned from Libraries,Legislative Action
The Hate U Give,"Thomas, Angie",,,,,Florida,The School District of Palm Beach County,July 2022,Banned Pending Investigation,Legislative Action
The Hate U Give,"Thomas, Angie",,,,,Missouri,St. Clair R-XIII School District,November 2022,Banned from Libraries and Classrooms,Administration
The Hate U Give,"Thomas, Angie",,,,,Nebraska,Plattsmouth Community Schools,April 2023,Banned Pending Investigation,Formal Challenge
The Hate U Give,"Thomas, Angie",,,,,New York,Mahopac Central School District,December 2022,Banned from Libraries,Formal Challenge
The Hate U Give,"Thomas, Angie",,,,,North Dakota,Williston Basin School District #7,September 2022,Banned Pending Investigation,Informal Challenge
The Hate U Give,"Thomas, Angie",,,,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
The Hate U Give,"Thomas, Angie",,,,,Texas,Keller Independent School District,February 2023,Banned Pending Investigation,Formal Challenge
God's Best Promises for Kids,"Thomas, Mack",,"Davis, Dennas",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Blankets,"Thompson, Craig",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Blankets,"Thompson, Craig",,,,,Florida,St. John's County School District,January 2023,Banned from Libraries and Classrooms,Formal Challenge
Blankets,"Thompson, Craig",,,,,Missouri,Independence School District,October 2022,Banned from Libraries,Legislative Action
Blankets,"Thompson, Craig",,,,,Missouri,Nixa Public Schools,April 2023,Banned from Libraries and Classrooms,Unclear
Blankets,"Thompson, Craig",,,,,South Carolina,Horry County Schools,June 2023,Banned from Libraries and Classrooms,Formal Challenge
Blankets,"Thompson, Craig",,,,,Texas,Cypress-Fairbanks Independent School District,December 2022,Banned from Libraries and Classrooms,Formal Challenge
Blankets,"Thompson, Craig",,,,,Utah,Washington County School District,June 2023,Banned Pending Investigation,Administration
Blankets,"Thompson, Craig",,,,,Virginia,Spotsylvania County Public Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Blankets,"Thompson, Craig",,,,,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
It Feels Good To Be Yourself: A Book About Gender Identity,"Thorn, Theresa",,"Grigni, Noah",,,Florida,Broward County Public Schools,October 2022,Banned from Libraries,Informal Challenge
It Feels Good To Be Yourself: A Book About Gender Identity,"Thorn, Theresa",,"Grigni, Noah",,,Florida,The School District of Palm Beach County,July 2022,Banned from Libraries,Legislative Action
Dracula,"Thorne, Ian",,,,Monsters,Florida,Gilchrist County Schools,March 2023,Banned from Libraries and Classrooms,Administration
Frankenstein,"Thorne, Ian",,,,Monsters,Florida,Gilchrist County Schools,March 2023,Banned from Libraries and Classrooms,Administration
King Kong,"Thorne, Ian",,,,Monsters,Florida,Gilchrist County Schools,March 2023,Banned from Libraries and Classrooms,Administration
Mad Scientists,"Thorne, Ian","May, Julian",,,Monsters,Florida,Gilchrist County Schools,March 2023,Banned from Libraries and Classrooms,Administration
The Blob,"Thorne, Ian","Schroeder, Howard",,,Monsters,Florida,Gilchrist County Schools,March 2023,Banned from Libraries and Classrooms,Administration
The Deadly Mantis,"Thorne, Ian",,,,Monsters,Florida,Gilchrist County Schools,March 2023,Banned from Libraries and Classrooms,Administration
The Wolf Man,"Thorne, Ian",,,,Monsters,Florida,Gilchrist County Schools,March 2023,Banned from Libraries and Classrooms,Administration
Strange Truth,"Thrash, Maggie",,,,Strange Truth,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Black Butler, Vol. 29","Toboso, Yana",,,,Black Butler,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
The Fellowship of the Ring,"Tolkien, J.R.R.",,,,The Lord of the Rings,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Hobbit,"Tolkien, J.R.R.",,,,The Lord of the Rings,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Return of the King,"Tolkien, J.R.R.",,,,The Lord of the Rings,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Two Towers,"Tolkien, J.R.R.",,,,The Lord of the Rings,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,"Tonatiuh, Duncan",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,"Tonatiuh, Duncan",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
"Pox, Pus and Plague","Townsend, John",,,,A Painful History of Medicine,Texas,Frisco Independent School District,September 2022,Banned from Libraries,Administration
Ancient Assyria,"Tracy, Kathy",,,,Explore Ancient Worlds,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Bible Lands,"Tubb, Jonathan N.",,,,DK Eyewitness Books,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Girls from Da Hood,"Turner, Nikki",,,,Girls from Da Hood,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Girls from Da Hood 2,"Turner, Nikki","Williams, KaShamba; Joy",,,Girls from Da Hood,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Graphic Classics Volume 8: Mark Twain - 2nd Edition,"Twain, Mark","Caputo, Antonella","Geary, Rick; Geradts, Evert; Flenniken, Shary; Miller, Nick; Gane, Simon; Ulve, Kirsten; Pawlosky, Toni; Tooks, Lance; Weber, Lisa K.; Owens, Annie; Fleener, Mary; Reppeteaux, Lesley",,Graphic Classics,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
The Adventures of Tom Sawyer (Sterling Illustrated Classics),"Twain, Mark",,Robert Ingpen,,Sterling Illustrated Classics,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
A Day in the Life of Marlon Bundo,"Twiss, Jill",,"Keller, E.G.",,,Florida,Broward County Public Schools,October 2022,Banned from Libraries and Classrooms,Informal Challenge
A Day in the Life of Marlon Bundo,"Twiss, Jill",,"Keller, E.G.",,,Florida,Lake County Schools,Fall 2022,Banned from Libraries,Legislative Action
Hands-On Bible,Tyndale House,,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
#Hockey,"Ukazu, Ngozi",,,,"Check, Please!",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
#Hockey,"Ukazu, Ngozi",,,,"Check, Please!",Texas,Frisco Independent School District,November 2022,Banned from Libraries and Classrooms,Informal Challenge
The Bible,Unknown,,,,,Texas,Keller Independent School District,Fall 2022,Banned Pending Investigation,Formal Challenge
The Bible,Unknown,,,,,Utah,Davis School District,May 2023,Banned from Libraries,Formal Challenge
"Master Keaton, Vol. 1","Urasawa, Naoki","Nagasaki, Takashi; Hokusei Katsushika",,,Master Keaton: Kanzenban,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
"Master Keaton, Vol. 10","Urasawa, Naoki","Nagasaki, Takashi; Hokusei Katsushika",,,Master Keaton: Kanzenban,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
"Master Keaton, Vol. 2","Urasawa, Naoki","Nagasaki, Takashi; Hokusei Katsushika",,,Master Keaton: Kanzenban,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
"Master Keaton, Vol. 3","Urasawa, Naoki","Nagasaki, Takashi; Hokusei Katsushika",,,Master Keaton: Kanzenban,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
"Master Keaton, Vol. 4","Urasawa, Naoki","Nagasaki, Takashi; Hokusei Katsushika",,,Master Keaton: Kanzenban,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
"Master Keaton, Vol. 5","Urasawa, Naoki","Nagasaki, Takashi; Hokusei Katsushika",,,Master Keaton: Kanzenban,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
"Master Keaton, Vol. 6","Urasawa, Naoki","Nagasaki, Takashi; Hokusei Katsushika",,,Master Keaton: Kanzenban,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
"Master Keaton, Vol. 7","Urasawa, Naoki","Nagasaki, Takashi; Hokusei Katsushika",,,Master Keaton: Kanzenban,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
"Master Keaton, Vol. 8","Urasawa, Naoki","Nagasaki, Takashi; Hokusei Katsushika",,,Master Keaton: Kanzenban,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
"Master Keaton, Vol. 9","Urasawa, Naoki","Nagasaki, Takashi; Hokusei Katsushika",,,Master Keaton: Kanzenban,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
Grand Canyon: A Different View,"Vail, Tom",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
"Date Me, Bryson Keller","van Whye, Kevin",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Acceptance,"VanderMeer, Jeff",,,,Southern Reach,Texas,Frisco Independent School District,October 2022,Banned Pending Investigation,Administration
Acceptance,"VanderMeer, Jeff",,,,Southern Reach,Utah,Washington County School District,September 2022,Banned from Libraries and Classrooms,Administration
Annihilation,"VanderMeer, Jeff",,,,Southern Reach,Texas,Frisco Independent School District,October 2022,Banned Pending Investigation,Administration
Authority,"VanderMeer, Jeff",,,,Southern Reach,Texas,Frisco Independent School District,October 2022,Banned Pending Investigation,Administration
Best Friends for Never,"Venable, Colleen A. F.","Yue, Stephanie",,,Katie the Catsitter,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Kiss Number 8,"Venable, Colleen A. F.",,"Crenshaw, Ellen T.",,,Missouri,Lindbergh Schools,November 2022,Banned from Libraries,Legislative Action
Kiss Number 8,"Venable, Colleen A. F.",,"Crenshaw, Ellen T.",,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Kiss Number 8,"Venable, Colleen A. F.",,"Crenshaw, Ellen T.",,,Texas,Belton Independent School District,August 2022,Banned from Libraries and Classrooms,Formal Challenge
Michelangelo (MV),"Venezia, Mike",,,,Getting to Know the World's Greatest Artists,Florida,School District of Manatee County,June 2023,Banned from Libraries,Administration
"20,000 Leagues Under the Sea (Graphic Novel)","Verne, Jules","Bowen, Carl","Ruiz, Jose Alfonso",,Graphic Revolve: Common Core Editions,Texas,Frisco Independent School District,September 2022,Banned from Libraries,Administration
The Grief Keeper,"Villasante, Alexandra",,,,,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
The Grief Keeper,"Villasante, Alexandra",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Last Man: The Royal Cup,"Vivès, Bastien","Sanlaville, Michaël; Balak",,"Siegel, Alexis",Last Man,Missouri,Lindbergh Schools,November 2022,Banned from Libraries,Legislative Action
Last Man: The Royal Cup,"Vivès, Bastien","Sanlaville, Michaël; Balak",,"Siegel, Alexis",Last Man,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Home for the Holidays,"Vogel Frederick, Heather",,,,The Mother-Daughter Book Club,Texas,Frisco Independent School District,November 2022,Banned from Libraries,Administration
Dicey's Song,"Voigt, Cynthia",,,,Tillerman Cycle,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Homecoming (CV),"Voigt, Cynthia",,,,Tillerman Cycle,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Nobody Does It Better: A Gossip Girl Novel,"Von Ziegesar, Cecily",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Breakfast of Champions,"Vonnegut Jr., Kurt",,,,,Missouri,Webster Groves School District,September 2022,Banned from Libraries,Legislative Action
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Florida,St. John's County School District,January 2023,Banned Pending Investigation,Formal Challenge
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Missouri,Independence School District,October 2022,Banned from Libraries,Legislative Action
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Nebraska,Plattsmouth Community Schools,April 2023,Banned Pending Investigation,Formal Challenge
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,North Dakota,Williston Basin School District #7,September 2022,Banned Pending Investigation,Informal Challenge
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Utah,Granite School District,October 2022,Banned Pending Investigation,Formal Challenge
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Utah,Washington County School District,February 2023,Banned from Libraries and Classrooms,Administration
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
Slaughterhouse-Five: The Graphic Novel,"Vonnegut Jr., Kurt","North, Ryan","Monteys, Albert",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Slaughterhouse-Five: The Graphic Novel,"Vonnegut Jr., Kurt","North, Ryan","Monteys, Albert",,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Skin,"Vrettos, Adrienne Maria",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
Skin,"Vrettos, Adrienne Maria",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
On Earth We're Briefly Gorgeous,"Vuong, Ocean",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Fantastic Four By Mark Waid and Mike Wieringo: Ultimate Collection - Book One (Fantastic Four 1998-2012),"Waid, Mark",,"Wieringo, Mike; Buckingham, Mike",,Fantastic Four Ultimate Collection,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Spinning,"Walden, Tillie",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Spinning,"Walden, Tillie",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Spinning,"Walden, Tillie",,,,,Texas,Frisco Independent School District,March 2023,Banned from Libraries and Classrooms,Administration
The Color Purple,"Walker, Alice",,,,,Pennsylvania,Penncrest School District,February 2023,Banned from Libraries and Classrooms,Administration
Written in Bone: Buried Lives of Jamestown and Colonial Maryland,"Walker, Sally M.",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Far from Normal,"Wallace, Becky",,,,,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
Dishes,"Wallace, Rich",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Glass Castle,"Walls, Jeannette",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Glass Castle,"Walls, Jeannette",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
The Glass Castle,"Walls, Jeannette",,,,,Iowa,Grinnell-Newburg Community School District,April 2023,Banned from Classrooms,Formal Challenge
The Glass Castle,"Walls, Jeannette",,,,,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
The Glass Castle,"Walls, Jeannette",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
The Glass Castle,"Walls, Jeannette",,,,,South Dakota,Sioux Valley School District,February 2023,Banned from Classrooms,Informal Challenge
Countries in the News: Cuba,"Walsh, Kieran",,,,,Florida,Miami-Dade Public Schools,March 2023,Banned from Libraries,Formal Challenge
The Prince and the Dressmaker,"Wang, Jen",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
The Prince and the Dressmaker,"Wang, Jen",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Prince and the Dressmaker,"Wang, Jen",,,,,Florida,School District of Manatee County,July 2022,Banned from Libraries,Legislative Action
